Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,Total_Test_Results,People_Hospitalized,Case_Fatality_Ratio,UID,ISO3,Testing_Rate,Hospitalization_Rate,Date,People_Tested,Mortality_Rate
Missouri,US,2/8/2021 5:30,38.4561,-92.2884,544197,7474,,,29,8866.857583,4249531,,1.373399706,84000029,USA,69239.60656,,2/7/2021,,
Montana,US,2/8/2021 5:30,46.9219,-110.4544,95790,1314,91162,3314,30,8962.572209,988597,,1.371750705,84000030,USA,92497.88076,,2/7/2021,,
Nebraska,US,2/8/2021 5:30,41.1254,-98.2681,193722,1968,140408,51346,31,10014.53675,2181508,,1.015888748,84000031,USA,112773.9339,,2/7/2021,,
Nevada,US,2/8/2021 5:30,38.3135,-117.0554,284042,4520,,,32,9221.675785,2550066,,1.591313961,84000032,USA,82790.15738,,2/7/2021,,
New Hampshire,US,2/8/2021 5:30,43.4525,-71.5639,68597,1104,63614,3879,33,5044.969115,1319021,,1.609399828,84000033,USA,97007.45232,,2/7/2021,,
New Jersey,US,2/8/2021 5:30,40.2989,-74.521,722167,21989,69953,630225,34,8130.506103,9721078,,3.044863584,84000034,USA,109444.6077,,2/7/2021,,
New Mexico,US,2/8/2021 5:30,34.8405,-106.2485,177556,3399,111037,63120,35,8467.834048,2430327,,1.914325621,84000035,USA,115904.8735,,2/7/2021,,
New York,US,2/8/2021 5:30,42.1657,-74.9481,1480224,44657,132905,1302662,36,7609.013075,33498467,,3.016908252,84000036,USA,172197.0954,,2/7/2021,,
North Carolina,US,2/8/2021 5:30,35.6301,-79.8064,796195,9983,683697,102515,37,7591.424706,9281261,,1.25383857,84000037,USA,8.84934E-06,,2/7/2021,,
North Dakota,US,2/8/2021 5:30,47.5289,-99.784,97752,1453,95946,756,38,12880.1856,1362842,,1.480311752,84000038,USA,178836.1052,,2/7/2021,,
Northern Mariana Islands,US,2/8/2021 5:30,15.0979,145.6739,133,2,29,102,69,241.1867112,17562,,1.503759398,580,MNP,31847.52648,,2/7/2021,,
Ohio,US,2/8/2021 5:30,40.3888,-82.7649,920217,17815,824080,78317,39,7872.436715,10971393,,1.93649976,84000039,USA,9.386E-06,,2/7/2021,,
Oklahoma,US,2/8/2021 5:30,35.5653,-96.9289,404782,3813,373490,27479,40,10229.59228,3293489,,0.941988527,84000040,USA,83232.57866,,2/7/2021,,
Oregon,US,2/8/2021 5:30,44.572,-122.0709,147122,2023,,,41,3488.173871,3271481,,1.375049279,84000041,USA,77564.84105,,2/7/2021,,
Pennsylvania,US,2/8/2021 5:30,40.5908,-77.2098,878823,22460,735763,120600,42,6864.737972,9459462,,2.555690964,84000042,USA,73890.56497,,2/7/2021,,
Puerto Rico,US,2/8/2021 5:30,18.2208,-66.5901,95839,1883,84935,9021,72,3000.882364,1606499,,1.964753388,630,PRI,50302.22056,,2/7/2021,,
Rhode Island,US,2/8/2021 5:30,41.6809,-71.5118,117891,2412,7233,108246,44,11128.50105,2611257,,2.045957707,84000044,USA,246493.5938,,2/7/2021,,
South Carolina,US,2/8/2021 5:30,33.8569,-80.945,466373,7651,207101,251621,45,9058.048282,4463062,,1.640532364,84000045,USA,86683.04357,,2/7/2021,,
South Dakota,US,2/8/2021 5:30,44.2998,-99.4388,109229,1809,105104,2316,46,12347.01733,660930,,1.656153586,84000046,USA,7.47101E-06,,2/7/2021,,
Tennessee,US,2/8/2021 5:30,35.7478,-86.6923,737840,10469,705492,22239,47,10809.50639,6590826,,1.418179355,84000047,USA,96509.8561,,2/7/2021,,
Texas,US,2/8/2021 5:30,31.0545,-97.5635,2533780,39363,2091113,400617,48,8729.005337,18072290,,1.553583253,84000048,USA,62327.09398,,2/7/2021,,
Utah,US,2/8/2021 5:30,40.15,-111.8624,354608,1736,321756,31116,49,11060.90598,2677079,,0.489554663,84000049,USA,83503.24614,,2/7/2021,,
Vermont,US,2/8/2021 5:30,44.0459,-72.7107,12900,183,9528,3189,50,2067.344136,930501,,1.418604651,84000050,USA,149121.3787,,2/7/2021,,
Virgin Islands,US,2/8/2021 5:30,18.3358,-64.8963,2466,24,2371,71,78,2298.914867,43056,,0.97323601,850,VIR,40138.71798,,2/7/2021,,
Virginia,US,2/8/2021 5:30,37.7693,-78.17,529125,6778,41558,480789,51,6199.095802,5437773,,1.280982755,84000051,USA,63707.58474,,2/7/2021,,
Washington,US,2/8/2021 5:30,47.4009,-121.4905,320146,4449,,,53,4204.208779,4716859,,1.389678459,84000053,USA,61942.55126,,2/7/2021,,
West Virginia,US,2/8/2021 5:30,38.4912,-80.9545,124708,2129,106442,16137,54,6958.580965,2017141,,1.707187991,84000054,USA,112554.4389,,2/7/2021,,
Wisconsin,US,2/8/2021 5:30,44.2685,-89.6165,600782,6613,529120,65049,55,10318.39949,6348701,,1.100732046,84000055,USA,1.09039E-05,,2/7/2021,,
Wyoming,US,2/8/2021 5:30,42.756,-107.3025,52627,624,51016,987,56,9093.076738,683414,,1.185703156,84000056,USA,118082.6562,,2/7/2021,,
Alabama,US,2/9/2021 5:30,32.3182,-86.9023,473348,8523,252880,211945,1,9653.888238,,,1.80057801,84000001,USA,,,2/8/2021,,
Alaska,US,2/9/2021 5:30,61.3707,-152.4044,55766,279,,,2,7623.044379,1555532,,0.500304845,84000002,USA,212636.5432,,2/8/2021,,
American Samoa,US,2/9/2021 5:30,-14.271,-170.132,0,0,,,60,0,2140,,,16,ASM,3846.084722,,2/8/2021,,
Arizona,US,2/9/2021 5:30,33.7298,-111.4312,782887,14055,108495,660337,4,10755.83788,6993662,,1.795278246,84000004,USA,48801.19669,,2/8/2021,,
Arkansas,US,2/9/2021 5:30,34.9697,-92.3731,307373,5106,286917,15350,5,10185.32019,2535155,,1.661173883,84000005,USA,84006.61541,,2/8/2021,,
California,US,2/9/2021 8:30,36.1162,-119.6816,3487267,44044,,,6,8829.908153,44323550,,1.256960302,84000006,USA,112176.8067,,2/8/2021,,
Colorado,US,2/9/2021 5:30,39.0598,-105.3111,423688,5963,21521,379022,8,7054.950948,5672214,,1.411109689,84000008,USA,98497.55224,,2/8/2021,,
Connecticut,US,2/9/2021 5:30,41.5978,-72.7554,263739,7282,9800,246657,9,7397.412887,6081886,,2.761063021,84000009,USA,170586.1548,,2/8/2021,,
Delaware,US,2/9/2021 5:30,39.3185,-75.5071,80931,1339,,,10,8311.151367,1314371,,1.654495805,84000010,USA,1.34978E-05,,2/8/2021,,
Diamond Princess,US,2/9/2021 5:30,,,49,0,,,88888,,,,0,84088888,USA,,,2/8/2021,,
District of Columbia,US,2/9/2021 5:30,38.8974,-77.0268,38136,956,28986,8194,11,5403.620834,1138525,,2.506817705,84000011,USA,161321.518,,2/8/2021,,
Florida,US,2/9/2021 5:30,27.7663,-81.6868,1783720,27815,,,12,8304.971795,21477755,,1.559381517,84000012,USA,100000.0838,,2/8/2021,,
Georgia,US,2/9/2021 5:30,33.0406,-83.6431,943695,15130,,,13,8888.173712,6687452,,1.603272244,84000013,USA,62985.64162,,2/8/2021,,
Grand Princess,US,2/9/2021 5:30,,,103,3,,,99999,,,,2.912621359,84099999,USA,,,2/8/2021,,
Guam,US,2/9/2021 5:30,13.4443,144.7937,7664,130,7431,103,66,4666.654489,110394,,1.696242171,316,GUM,67219.55318,,2/8/2021,,
Hawaii,US,2/9/2021 5:30,21.0943,-157.4983,27225,418,,,15,1922.843308,1005681,,1.535353535,84000015,USA,71029.0902,,2/8/2021,,
Idaho,US,2/9/2021 5:30,44.2405,-114.4788,165658,1776,86078,77804,16,9269.836296,613210,,1.072088278,84000016,USA,34313.80504,,2/8/2021,,
Illinois,US,2/9/2021 5:30,40.3495,-88.9861,1148088,21779,,,17,9060.165859,16683795,,1.896980022,84000017,USA,131660.5956,,2/8/2021,,
Indiana,US,2/9/2021 5:30,39.8494,-86.2583,640744,11875,416754,212115,18,9517.575112,7303220,,1.853314272,84000018,USA,1.08482E-05,,2/8/2021,,
Iowa,US,2/9/2021 5:30,42.0115,-93.2105,325219,5110,294118,25991,19,10307.82201,1269419,,1.571248912,84000019,USA,40234.25788,,2/8/2021,,
Kansas,US,2/9/2021 5:30,38.5266,-96.7265,284925,4205,5954,275179,20,9794.275523,1203759,,1.473690851,84000020,USA,41319.23301,,2/8/2021,,
Kentucky,US,2/9/2021 5:30,37.6681,-84.6701,378793,4091,44961,329741,21,8478.530098,3694175,,1.080009398,84000021,USA,82686.78124,,2/8/2021,,
Louisiana,US,2/9/2021 5:30,31.1695,-91.8678,412989,9142,363457,40390,22,8883.787924,5196757,,2.21361828,84000022,USA,111787.2076,,2/8/2021,,
Maine,US,2/9/2021 5:30,44.6939,-69.3819,41419,636,12535,28248,23,3081.284797,1463531,,1.535527174,84000023,USA,108876.5016,,2/8/2021,,
Maryland,US,2/9/2021 5:30,39.0639,-76.8021,364553,7372,9526,347655,24,6029.975123,7260091,,2.022202533,84000024,USA,1.20087E-05,,2/8/2021,,
Massachusetts,US,2/9/2021 5:30,42.2302,-71.5301,545303,12694,425717,104532,25,7911.538087,14868628,,2.760667005,84000025,USA,2.15722E-05,,2/8/2021,,
Michigan,US,2/9/2021 5:30,43.3266,-84.5361,622813,15863,498495,108455,26,6236.326404,9761104,,2.546992436,84000026,USA,9.77395E-06,,2/8/2021,,
Minnesota,US,2/9/2021 5:30,45.6945,-93.9002,468682,6370,454290,8022,27,8310.506785,6433140,,1.359130498,84000027,USA,114070.2088,,2/8/2021,,
Mississippi,US,2/9/2021 5:30,32.7416,-89.6787,282313,6270,238176,37867,28,9485.848995,1609943,,2.22093917,84000028,USA,54094.83867,,2/8/2021,,
Missouri,US,2/9/2021 5:30,38.4561,-92.2884,545150,7475,,,29,8882.38526,4256838,,1.371182243,84000029,USA,69358.66294,,2/8/2021,,
Montana,US,2/9/2021 5:30,46.9219,-110.4544,95914,1314,91380,3220,30,8974.174244,992938,,1.369977271,84000030,USA,92904.04555,,2/8/2021,,
Nebraska,US,2/9/2021 5:30,41.1254,-98.2681,193826,1968,140902,50956,31,10019.91307,2183665,,1.015343659,84000031,USA,112885.4409,,2/8/2021,,
Nevada,US,2/9/2021 5:30,38.3135,-117.0554,284590,4522,,,32,9239.467092,2557768,,1.588952528,84000032,USA,83040.20965,,2/8/2021,,
New Hampshire,US,2/9/2021 5:30,43.4525,-71.5639,68897,1106,64148,3643,33,5067.032627,1322346,,1.60529486,84000033,USA,97251.98958,,2/8/2021,,
